iter	RMSE
0	14.45047281
1	14.08501824
2	13.72718583
3	13.37169996
4	13.03680033
5	12.75656168
6	12.46799339
7	12.20618925
8	11.94400858
9	11.65731399
10	11.3814064
11	11.14007383
12	10.90064489
13	10.6671064
14	10.44321255
15	10.21028814
16	10.00143265
17	9.80344907
18	9.606239829
19	9.414008847
20	9.24595083
21	9.074947801
22	8.902210785
23	8.747626995
24	8.598354473
25	8.468001322
26	8.333221141
27	8.204849228
28	8.07536436
29	7.966756039
30	7.849603796
31	7.746342264
32	7.63794065
33	7.54422087
34	7.442095344
35	7.355955846
36	7.26055683
37	7.193847137
38	7.115067131
39	7.037600491
40	6.960456659
41	6.885598729
42	6.81903961
43	6.756422893
44	6.693356489
45	6.634678059
46	6.571953404
47	6.516649247
48	6.456930057
49	6.399193437
50	6.343234568
51	6.291792602
52	6.247015919
53	6.202218264
54	6.156431839
55	6.115318784
56	6.077082925
57	6.041581566
58	6.010982334
59	5.980728351
60	5.953042737
61	5.92186784
62	5.896344583
63	5.861785319
64	5.831356941
65	5.804586335
66	5.779145621
67	5.750915371
68	5.72599204
69	5.695622162
70	5.670185609
71	5.646052512
72	5.624356594
73	5.601601183
74	5.582646619
75	5.562559137
76	5.54616744
77	5.527388665
78	5.509080349
79	5.492124298
80	5.475537305
81	5.458344598
82	5.451807984
83	5.440455398
84	5.426734911
85	5.413358294
86	5.395203194
87	5.382545068
88	5.36488935
89	5.35744113
90	5.346281823
91	5.333700835
92	5.319190323
93	5.310193507
94	5.297220531
95	5.284906641
96	5.276025016
97	5.264504607
98	5.255430955
99	5.248908594
100	5.240797554
101	5.230157596
102	5.215523053
103	5.20875529
104	5.198843372
105	5.188744621
106	5.184339354
107	5.172253115
108	5.160860425
109	5.152396897
110	5.144719304
111	5.135434216
112	5.13107015
113	5.126029666
114	5.119218421
115	5.112787724
116	5.107374528
117	5.097093922
118	5.089626493
119	5.084773626
120	5.078779949
121	5.073322887
122	5.066498946
123	5.059875983
124	5.057112665
125	5.050213304
126	5.042717131
127	5.037205957
128	5.031583647
129	5.026146616
130	5.02094824
131	5.014891105
132	5.010933787
133	5.005633471
134	5.001419231
135	4.994643744
136	4.990960514
137	4.98581911
138	4.982119903
139	4.978328153
140	4.974444145
141	4.969741884
142	4.964746576
143	4.96140709
144	4.955083338
145	4.952359601
146	4.949169681
147	4.944135355
148	4.939463378
149	4.931766351
150	4.928101824
151	4.923119966
152	4.919736296
153	4.915667407
154	4.911806291
155	4.905467734
156	4.89942546
157	4.892210124
158	4.88787409
159	4.884049973
160	4.878952204
161	4.873318914
162	4.867417159
163	4.862738384
164	4.861257677
165	4.857030649
166	4.853859307
167	4.851078645
168	4.848085138
169	4.845688883
170	4.839908776
171	4.836300921
172	4.83049555
173	4.826436768
174	4.821518099
175	4.813041217
176	4.810118406
177	4.807435862
178	4.801745975
179	4.795999915
180	4.792776212
181	4.790152746
182	4.786248315
183	4.777871641
184	4.772850587
185	4.7679978
186	4.763913415
187	4.760657078
188	4.75550142
189	4.752306373
190	4.747541572
191	4.743956161
192	4.741038164
193	4.734754549
194	4.731914478
195	4.728990077
196	4.724344376
197	4.721940046
198	4.717974215
199	4.711782517
200	4.710149049
201	4.707973433
202	4.705990063
203	4.701452061
204	4.699357155
205	4.695035373
206	4.69136071
207	4.68501797
208	4.678035017
209	4.675001868
210	4.66691553
211	4.663766612
212	4.657321224
213	4.655258355
214	4.651882597
215	4.649024502
216	4.644101002
217	4.641062355
218	4.637382895
219	4.632649087
220	4.625724267
221	4.619441986
222	4.61329766
223	4.609209177
224	4.604740308
225	4.602987298
226	4.600955027
227	4.595351915
228	4.586520518
229	4.584377547
230	4.579704668
231	4.577863106
232	4.573707209
233	4.568724099
234	4.562379119
235	4.556423665
236	4.554181597
237	4.548536036
238	4.544295824
239	4.538550912
240	4.533717346
241	4.532180361
242	4.531424562
243	4.52960517
244	4.524640272
245	4.523159747
246	4.522129755
247	4.520576415
248	4.518380275
