iter	Passed	Remaining
0	150	150073
1	179	89635
2	188	62744
3	191	47716
4	194	38744
5	196	32622
6	200	28376
7	201	25040
8	204	22478
9	205	20388
10	207	18682
11	209	17237
12	211	16085
13	213	15035
14	215	14127
15	217	13352
16	218	12651
17	220	12022
18	221	11456
19	226	11102
20	228	10644
21	230	10239
22	232	9862
23	234	9520
24	235	9200
25	238	8934
26	242	8724
27	244	8479
28	245	8234
29	247	8006
30	249	7786
31	250	7585
32	255	7487
33	257	7308
34	258	7135
35	260	6976
36	262	6827
37	263	6676
38	265	6540
39	269	6465
40	271	6340
41	272	6222
42	274	6106
43	276	6001
44	277	5891
45	279	5789
46	280	5688
47	283	5629
48	285	5537
49	286	5449
50	288	5367
51	289	5283
52	291	5204
53	292	5127
54	294	5052
55	297	5007
56	298	4946
57	300	4879
58	301	4814
59	303	4755
60	305	4697
61	306	4643
62	308	4587
63	312	4568
64	313	4515
65	315	4462
66	316	4410
67	318	4360
68	319	4313
69	321	4270
70	323	4228
71	325	4199
72	328	4167
73	329	4125
74	331	4087
75	333	4053
76	335	4016
77	336	3979
78	338	3943
79	340	3918
80	343	3900
81	345	3870
82	346	3829
83	348	3797
84	351	3780
85	352	3751
86	355	3729
87	357	3705
88	359	3678
89	360	3649
90	362	3623
91	364	3593
92	365	3566
93	367	3540
94	370	3529
95	372	3506
96	373	3479
97	375	3456
98	377	3432
99	378	3408
100	380	3386
101	381	3363
102	385	3359
103	387	3337
104	388	3315
105	390	3292
106	391	3270
107	393	3248
108	395	3236
109	397	3216
110	401	3214
111	402	3193
112	404	3173
113	405	3153
114	407	3135
115	408	3115
116	409	3094
117	411	3076
118	415	3077
119	417	3059
120	418	3042
121	420	3027
122	422	3010
123	423	2993
124	425	2976
125	426	2959
126	427	2941
127	430	2929
128	431	2914
129	433	2899
130	434	2884
131	436	2869
132	437	2854
133	439	2839
134	441	2825
135	444	2823
136	446	2809
137	447	2796
138	449	2783
139	451	2774
140	453	2760
141	454	2744
142	455	2731
143	458	2725
144	460	2712
145	461	2699
146	463	2687
147	465	2678
148	466	2666
149	468	2654
150	470	2642
151	473	2639
152	474	2628
153	476	2616
154	477	2604
155	479	2593
156	480	2581
157	482	2570
158	483	2559
159	485	2548
160	488	2543
161	489	2533
162	491	2523
163	493	2513
164	495	2506
165	496	2496
166	500	2494
167	504	2498
168	506	2488
169	507	2479
170	510	2473
171	512	2466
172	515	2464
173	520	2473
174	522	2464
175	524	2455
176	526	2447
177	528	2438
178	529	2428
179	531	2420
180	535	2424
181	538	2418
182	540	2414
183	543	2408
184	544	2400
185	546	2392
186	550	2393
187	552	2384
188	553	2376
189	555	2367
190	557	2359
191	558	2351
192	566	2367
193	569	2366
194	571	2359
195	573	2352
196	575	2346
197	577	2338
198	582	2344
199	585	2340
200	586	2332
201	588	2324
202	589	2315
203	591	2307
204	592	2299
205	597	2302
206	598	2294
207	600	2286
208	602	2278
209	603	2271
210	605	2263
211	607	2256
212	608	2250
213	619	2275
214	621	2267
215	622	2260
216	625	2255
217	687	2464
218	696	2482
219	699	2479
220	703	2481
221	713	2500
222	715	2493
223	718	2487
224	725	2499
225	728	2493
226	730	2486
227	734	2487
228	742	2498
229	744	2491
230	745	2483
231	748	2476
232	750	2468
233	754	2471
234	756	2463
235	759	2457
236	762	2455
237	765	2449
238	768	2446
239	770	2440
240	772	2432
241	774	2424
242	775	2416
243	777	2409
244	779	2400
245	780	2393
246	784	2391
247	786	2385
248	789	2381
249	791	2373
250	793	2366
251	794	2358
252	796	2351
253	800	2350
254	803	2346
255	805	2339
256	806	2332
257	808	2324
258	810	2317
259	813	2316
260	815	2309
261	817	2303
262	819	2295
263	820	2288
264	822	2280
265	823	2272
266	825	2265
267	830	2269
268	833	2265
269	836	2260
270	837	2253
271	840	2248
272	843	2247
273	845	2241
